DayType,Month,Hour,EntryAvgs,ExitAvgs,EntryRatioToEntireDayAvg,ExitRatioToEntireDayAvg,FebEntryAvgs,FebExitAvgs,FebEntryRatioToEntireDayAvg,FebExitRatioToEntireDayAvg,FebEntryAvgsDiff,FebEntryAvgsDiffPerc,FebExitAvgsDiff,FebExitAvgsDiffPerc,FebEntryRatioDiff,FebExitRatioDiff
Weekday,Feb,0,553196.2,514552.65,0.6312648202734851,0.7318451026633674,553196.2,514552.65,0.6312648202734851,0.7318451026633674,0,0,0,0,0,0
Weekend,Feb,0,547491.8888888889,511030,1.1919273333245444,1.278354145014774,547491.8888888889,511030,1.1919273333245444,1.278354145014774,0,0,0,0,0,0
Weekday,Feb,4,89611.2,108431.55,0.1022573872750596,0.15422153367920283,89611.2,108431.55,0.1022573872750596,0.15422153367920283,0,0,0,0,0,0
Weekend,Feb,4,148504.88888888888,165183.11111111112,0.3233053124462158,0.4132096252183333,148504.88888888888,165183.11111111112,0.3233053124462158,0.4132096252183333,0,0,0,0,0,0
Weekday,Feb,8,524161.05,304746.85,0.5981321473694347,0.43343959014609645,524161.05,304746.85,0.5981321473694347,0.43343959014609645,0,0,0,0,0,0
Weekend,Feb,8,135323.66666666666,98449.22222222222,0.29460888904316507,0.24627315676429637,135323.66666666666,98449.22222222222,0.29460888904316507,0.24627315676429637,0,0,0,0,0,0
Weekday,Feb,12,1438971.15,1212222.45,1.6420428491437218,1.7241366133690863,1438971.15,1212222.45,1.6420428491437218,1.7241366133690863,0,0,0,0,0,0
Weekend,Feb,12,463328.6666666667,376724.6666666667,1.0086982352078175,0.9423860422336114,463328.6666666667,376724.6666666667,1.0086982352078175,0.9423860422336114,0,0,0,0,0,0
Weekday,Feb,16,978754,774256.3,1.1168785467108318,1.1012200235704919,978754,774256.3,1.1168785467108318,1.1012200235704919,0,0,0,0,0,0
Weekend,Feb,16,709149.1111111111,596155.6666666666,1.5438661760844432,1.4912980990497215,709149.1111111111,596155.6666666666,1.5438661760844432,1.4912980990497215,0,0,0,0,0,0
Weekday,Feb,20,1673285.45,1304327.55,1.909424249227467,1.855137136571755,1673285.45,1304327.55,1.909424249227467,1.855137136571755,0,0,0,0,0,0
Weekend,Feb,20,752201.4444444445,650994.5555555555,1.637594053893814,1.628478931719263,752201.4444444445,650994.5555555555,1.637594053893814,1.628478931719263,0,0,0,0,0,0
Weekday,Mar,0,252444.45454545456,247209.5,0.5395229033826333,0.635735955749877,553196.2,514552.65,0.6312648202734851,0.7318451026633674,-300751.74545454537,-54.36619872922941,-267343.15,-51.95642272953021,0.09174191689085176,0.09610914691349048
Weekend,Mar,0,248398.88888888888,245670.11111111112,1.090736730351266,1.17667637666811,547491.8888888889,511030,1.1919273333245444,1.278354145014774,-299093,-54.62966777590008,-265359.8888888889,-51.92647963698587,0.10119060297327831,0.10167776834666387
Weekday,Mar,4,47009,59132.63636363636,0.10046737691577023,0.15206835940627803,89611.2,108431.55,0.1022573872750596,0.15422153367920283,-42602.2,-47.54115556983949,-49298.91363636364,-45.46546981608549,0.0017900103592893707,0.0021531742729248016
Weekend,Mar,4,62956.77777777778,78989.77777777778,0.2764475729096396,0.3783342022723213,148504.88888888888,165183.11111111112,0.3233053124462158,0.4132096252183333,-85548.1111111111,-57.60625912801973,-86193.33333333334,-52.18047580866486,0.04685773953657618,0.034875422946012036
Weekday,Mar,8,449439.4090909091,288046.9090909091,0.9605394395527966,0.7407554202071807,524161.05,304746.85,0.5981321473694347,0.43343959014609645,-74721.64090909087,-14.255473753551675,-16699.94090909086,-5.4799388112103085,-0.362407292183362,-0.3073158300610842
Weekend,Mar,8,110509.11111111111,84807.77777777778,0.48525316303357185,0.40620044586415494,135323.66666666666,98449.22222222222,0.29460888904316507,0.24627315676429637,-24814.555555555547,-18.33718828849022,-13641.444444444438,-13.856325257352063,-0.1906442739904068,-0.15992728909985857
Weekday,Mar,12,664483.8636363636,603791.6363636364,1.420131268106146,1.5527398947751543,1438971.15,1212222.45,1.6420428491437218,1.7241366133690863,-774487.2863636363,-53.822294238743865,-608430.8136363636,-50.19135008070207,0.2219115810375758,0.17139671859393202
Weekend,Mar,12,247216.11111111112,217630.77777777778,1.0855430711854133,1.0423774951247466,463328.6666666667,376724.6666666667,1.0086982352078175,0.9423860422336114,-216112.55555555556,-46.643467392237525,-159093.8888888889,-42.230812836489484,-0.07684483597759573,-0.0999914528911352
Weekday,Mar,16,595738.9090909091,470921.6818181818,1.2732099283759735,1.2110450669331934,978754,774256.3,1.1168785467108318,1.1012200235704919,-383015.09090909094,-39.132927263550485,-303334.6181818182,-39.177546011807486,-0.1563313816651417,-0.10982504336270149
Weekend,Mar,16,356301.3333333333,311675.44444444444,1.564543839459905,1.4928195009422327,709149.1111111111,596155.6666666666,1.5438661760844432,1.4912980990497215,-352847.7777777778,-49.756500043401005,-284480.2222222222,-47.71911735954125,-0.02067766337546173,-0.0015214018925111539
